driver_id,trajectory_id,decision,decision_time
0,0,1,0.4464375972747803
0,1,1,0.28469228744506836
0,10,1,0.8816611766815186
0,11,0,0.6384634971618652
0,12,0,1.553279161453247
0,13,0,1.0261814594268799
0,14,0,1.1222445964813232
0,15,0,1.1388213634490967
0,16,0,1.1518974304199219
0,17,0,1.2139296531677246
0,18,1,0.6079888343811035
0,19,0,1.5983545780181885
0,2,0,1.8729848861694336
0,20,1,0.9287021160125732
0,21,0,0.6910214424133301
0,22,0,0.6538546085357666
0,23,0,0.8774237632751465
0,24,1,0.38352537155151367
0,25,0,1.6949548721313477
0,26,1,0.5614039897918701
0,27,0,1.3574070930480957
0,28,0,1.876124382019043
0,29,1,0.4818878173828125
0,3,0,1.5724825859069824
0,30,1,0.4162414073944092
0,31,1,0.38596034049987793
0,32,0,1.9524610042572021
0,33,1,0.7220900058746338
0,34,1,0.7361612319946289
0,35,0,0.9765942096710205
0,37,0,1.2639145851135254
0,38,0,1.619889259338379
0,39,1,0.4942495822906494
0,4,0,1.024228572845459
0,40,1,0.4465503692626953
0,41,0,0.8932733535766602
0,42,0,1.2280597686767578
0,43,1,0.7360708713531494
0,44,0,1.664332628250122
0,45,1,0.4640467166900635
0,46,1,0.5629739761352539
0,47,0,1.0555319786071777
0,48,0,1.5213747024536133
0,49,0,1.5837955474853516
0,5,1,0.6066122055053711
0,50,1,0.5120940208435059
0,51,1,0.6556234359741211
0,52,0,0.9120206832885742
0,6,1,1.1838650703430176
0,7,0,1.2796111106872559
0,8,0,1.5359604358673096
0,9,1,1.0112245082855225
1,0,1,2.191678524017334
1,1,0,1.1537249088287354
1,10,1,1.469860553741455
1,11,1,0.4490344524383545
1,12,1,1.9837524890899658
1,13,0,0.8825266361236572
1,15,0,0.9092659950256348
1,16,0,0.8343286514282227
1,17,0,1.1873040199279785
1,18,0,0.8640084266662598
1,19,0,0.7071166038513184
1,2,0,1.185140609741211
1,20,1,0.0640254020690918
1,21,1,0.7218940258026123
1,22,0,0.912804126739502
1,23,0,0.6570267677307129
1,24,0,0.629950761795044
1,25,1,0.6272788047790527
1,26,0,1.0079302787780762
1,27,0,1.7786996364593506
1,28,0,0.7200958728790283
1,29,1,1.069500207901001
1,3,0,0.994671106338501
1,30,0,0.9728894233703613
1,31,1,0.876861572265625
1,32,0,0.8638095855712891
1,33,0,1.037902593612671
1,34,0,0.655210018157959
1,35,1,0.7998466491699219
1,36,0,0.85160231590271
1,37,1,0.6545655727386475
1,38,0,0.7361407279968262
1,39,1,0.30400753021240234
1,4,0,0.9146554470062256
1,40,0,0.9148614406585693
1,41,0,1.136075735092163
1,42,1,0.4673135280609131
1,43,1,0.0666050910949707
1,44,0,2.01969575881958
1,45,0,1.4880995750427246
1,46,0,1.0559828281402588
1,48,0,1.3243310451507568
1,49,0,0.9440124034881592
1,5,0,1.346785068511963
1,50,1,0.3360562324523926
1,6,0,1.2610445022583008
1,7,0,0.894341230392456
1,8,0,0.5798788070678711
1,9,1,0.5770728588104248
2,0,1,0.8162627220153809
2,1,1,0.9609766006469727
2,10,0,1.3600077629089355
2,11,1,0.3354353904724121
2,12,1,0.6399610042572021
2,13,0,0.9145030975341797
2,14,0,0.9440314769744873
2,15,1,1.106527328491211
2,16,0,1.5974278450012207
2,17,1,1.234635353088379
2,18,1,1.1318984031677246
2,19,0,1.3579339981079102
2,2,0,1.5813789367675781
2,20,1,0.9128100872039795
2,21,0,1.5203728675842285
2,22,0,1.4906554222106934
2,23,0,1.363527774810791
2,24,1,1.5343506336212158
2,25,1,1.0881378650665283
2,26,0,1.1071059703826904
2,27,1,1.6939363479614258
2,28,1,0.4634590148925781
2,29,1,1.1328129768371582
2,3,0,0.7361350059509277
